,title,author,city,country,page,city_country,city_location,country_location,city_country_location,best_location,lat,lon,address
41,Mexico,James A. Michener,Toledo,Mexico,Mexico (novel),"Toledo, Mexico","Toledo, Castilla-La Mancha, España","Ciudad de México, Cuauhtémoc, Ciudad de México, México","Toledo, San Juan del Río, Durango, 34480, México","Toledo, San Juan del Río, Durango, 34480, México",24.8007984,-104.4644063,"Toledo, San Juan del Río, Durango, 34480, México"
44,Ivanhoe,Walter Scott,Ashby-De-La-Zouch,England,Ivanhoe,"Ashby-De-La-Zouch, England","Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, United Kingdom","England, United Kingdom","Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, United Kingdom","Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, United Kingdom",52.7471344,-1.4712148,"Ashby-de-la-Zouch, North West Leicestershire, Leicestershire, England, United Kingdom"
49,Kydd,Julian Stockwin,Guildford,United Kingdom,Kydd (novel),"Guildford, United Kingdom","Guildford, Surrey, England, United Kingdom",United Kingdom,"Guildford, Surrey, England, United Kingdom","Guildford, Surrey, England, United Kingdom",51.2356068,-0.5732063,"Guildford, Surrey, England, United Kingdom"
50,The History of Henry Esmond,William Makepeace Thackeray,Virginia,Great Britain,The History of Henry Esmond,"Virginia, Great Britain","Virginia, United States","Great Britain, United Kingdom",,"Virginia, United States",37.1232245,-78.4927721,"Virginia, United States"
54,The Lady of the Wheel,Angelo F. Coniglio,Racalmuto,Sicily,The Lady of the Wheel,"Racalmuto, Sicily","Racalmuto, Agrigento, Sicilia, 92020, Italia","Sicilia, Italia","Racalmuto, Agrigento, Sicilia, 92020, Italia","Racalmuto, Agrigento, Sicilia, 92020, Italia",37.4089397,13.7324019,"Racalmuto, Agrigento, Sicilia, 92020, Italia"
57,O Arquipélago,Erico Verissimo,Santa Fé,Brazil,O Tempo e o Vento,"Santa Fé, Brazil","Santa Fe, Santa Fe County, New Mexico, United States",Brasil,"Santa Fé, Região Geográfica Imediata de Maringá, Região Geográfica Intermediária de Maringá, Paraná, Região Sul, 86770-000, Brasil","Santa Fé, Região Geográfica Imediata de Maringá, Região Geográfica Intermediária de Maringá, Paraná, Região Sul, 86770-000, Brasil",-23.039993,-51.808014,"Santa Fé, Região Geográfica Imediata de Maringá, Região Geográfica Intermediária de Maringá, Paraná, Região Sul, 86770-000, Brasil"
62,A Thousand Splendid Suns,Khaled Hosseini,Lahore,Pakistan,A Case of Exploding Mangoes,"Lahore, Pakistan","لاہور, ضلع لاہور, لاہور ڈویژن, پنجاب, 54500, پاکستان",پاکستان,"لاہور, ضلع لاہور, لاہور ڈویژن, پنجاب, 54500, پاکستان","لاہور, ضلع لاہور, لاہور ڈویژن, پنجاب, 54500, پاکستان",31.5656822,74.3141829,"لاہور, ضلع لاہور, لاہور ڈویژن, پنجاب, 54500, پاکستان"
63,Ragtime,E. L. Doctorow,California,USA,Ragtime (novel),"California, USA","California, United States",United States,"California, United States","California, United States",36.7014631,-118.755997,"California, United States"
64,Jamrach's Menagerie,Carol Birch,London,United Kingdom,Jamrach's Menagerie,"London, United Kingdom","London, Greater London, England, United Kingdom",United Kingdom,"London, Greater London, England, United Kingdom","London, Greater London, England, United Kingdom",51.5074456,-0.1277653,"London, Greater London, England, United Kingdom"
65,The Source,James A. Michener,Makor,Israel,The Source (novel),"Makor, Israel","Makor, Martap, Vina, Adamaoua, Cameroun",ישראל,"המקור, נחלת גנים, רמת גן, נפת תל אביב, מחוז תל אביב, 5255230, ישראל","המקור, נחלת גנים, רמת גן, נפת תל אביב, מחוז תל אביב, 5255230, ישראל",32.0914311,34.8174146,"המקור, נחלת גנים, רמת גן, נפת תל אביב, מחוז תל אביב, 5255230, ישראל"
66,How Late It Was How Late,James Kelman,Glasgow,Scotland,"How late it was, how late","Glasgow, Scotland","Glasgow, Glasgow City, Alba / Scotland, G2 1DY, United Kingdom","Alba / Scotland, United Kingdom","Glasgow, Glasgow City, Alba / Scotland, G2 1DY, United Kingdom","Glasgow, Glasgow City, Alba / Scotland, G2 1DY, United Kingdom",55.861155,-4.2501687,"Glasgow, Glasgow City, Alba / Scotland, G2 1DY, United Kingdom"
71,The Sicilian,,Palermo,Italy,The Sicilian,"Palermo, Italy","Palermo, Sicilia, Italia",Italia,"Palermo, Sicilia, Italia","Palermo, Sicilia, Italia",38.1112268,13.3524434,"Palermo, Sicilia, Italia"
73,The Book Thief,Zusak,Germany (Görlitz),Germany,The Book Thief,"Germany (Görlitz), Germany","Görlitz, Sachsen, Deutschland",Deutschland,,"Görlitz, Sachsen, Deutschland",51.1563185,14.991018,"Görlitz, Sachsen, Deutschland"
74,Exit West,Mohsin Hamid,"London- proper and Marin County, California (and other fictional locations)","Global, various countries",Exit West,"London- proper and Marin County, California (and other fictional locations), Global, various countries",,,,,,,
75,The Heretic: A Novel of the Inquisition,Miguel Delibes,Valladolid,Spain,The Heretic: A Novel of the Inquisition,"Valladolid, Spain","Valladolid, Castilla y León, España",España,"Valladolid, Castilla y León, España","Valladolid, Castilla y León, España",41.6521807,-4.728605,"Valladolid, Castilla y León, España"
76,Sarum,Edward Rutherfurd,Salisbury,England,Sarum (novel),"Salisbury, England","Salisbury, Wiltshire, England, United Kingdom","England, United Kingdom","Salisbury, Wiltshire, England, United Kingdom","Salisbury, Wiltshire, England, United Kingdom",51.0690613,-1.7954134,"Salisbury, Wiltshire, England, United Kingdom"
78,The Sense of an Ending,Julian Barnes,London,United Kingdom,The Sense of an Ending,"London, United Kingdom","London, Greater London, England, United Kingdom",United Kingdom,"London, Greater London, England, United Kingdom","London, Greater London, England, United Kingdom",51.5074456,-0.1277653,"London, Greater London, England, United Kingdom"
80,The Mask of Apollo,Mary Renault,Syracuse,Greece,The Mask of Apollo,"Syracuse, Greece","City of Syracuse, Onondaga County, New York, United States",Ελλάς,,"City of Syracuse, Onondaga County, New York, United States",43.0481221,-76.1474244,"City of Syracuse, Onondaga County, New York, United States"
83,Purple Hibiscus,Chimamanda Ngozi Adichie,Enugu,Nigeria,Purple Hibiscus,"Enugu, Nigeria","Enugu, Nigeria",Nigeria,"Enugu, Nigeria","Enugu, Nigeria",6.5536094,7.4143061,"Enugu, Nigeria"
86,Slow Man,J.M. Coetzee,Adelaide,Australia,Slow Man,"Adelaide, Australia","Adelaide, Adelaide City Council, South Australia, Australia",Australia,"Adelaide, Adelaide City Council, South Australia, Australia","Adelaide, Adelaide City Council, South Australia, Australia",-34.9281805,138.5999312,"Adelaide, Adelaide City Council, South Australia, Australia"
87,Shalimar the Clown,Salman Rushdie,Srinagar,India,Shalimar the Clown,"Srinagar, India","Srinagar, Srinagar (South), Srinagar, Jammu and Kashmir, 190001, India",India,"Srinagar, Srinagar (South), Srinagar, Jammu and Kashmir, 190001, India","Srinagar, Srinagar (South), Srinagar, Jammu and Kashmir, 190001, India",34.0747444,74.8204443,"Srinagar, Srinagar (South), Srinagar, Jammu and Kashmir, 190001, India"
93,The Feast of the Goat,Mario Vargas Llosa,Santo Domingo,Dominican Republic,The Feast of the Goat,"Santo Domingo, Dominican Republic","Santo Domingo de Guzmán, Distrito Nacional, República Dominicana",República Dominicana,"Santo Domingo de Guzmán, Distrito Nacional, República Dominicana","Santo Domingo de Guzmán, Distrito Nacional, República Dominicana",18.4801972,-69.942111,"Santo Domingo de Guzmán, Distrito Nacional, República Dominicana"
98,Sea of Poppies,Amitav Ghosh,Calcutta,India,Sea of Poppies,"Calcutta, India","Kolkata, West Bengal, India",India,"Kolkata, West Bengal, India","Kolkata, West Bengal, India",22.5726459,88.3638953,"Kolkata, West Bengal, India"
102,Hawksmoor,Peter Ackroyd,London,United Kingdom,Hawksmoor (novel),"London, United Kingdom","London, Greater London, England, United Kingdom",United Kingdom,"London, Greater London, England, United Kingdom","London, Greater London, England, United Kingdom",51.5074456,-0.1277653,"London, Greater London, England, United Kingdom"
103,The Sorrow of Belgium,Hugo Claus,Kortrijk,Belgium,The Sorrow of Belgium,"Kortrijk, Belgium","Kortrijk, West-Vlaanderen, Vlaanderen, België / Belgique / Belgien",België / Belgique / Belgien,"Kortrijk, West-Vlaanderen, Vlaanderen, België / Belgique / Belgien","Kortrijk, West-Vlaanderen, Vlaanderen, België / Belgique / Belgien",50.8276429,3.2659884,"Kortrijk, West-Vlaanderen, Vlaanderen, België / Belgique / Belgien"
107,The Last Kabbalist of Lisbon,Richard Zimler,Lisbon,Portugal,The Last Kabbalist of Lisbon,"Lisbon, Portugal","Lisboa, Portugal",Portugal,"Lisboa, Portugal","Lisboa, Portugal",38.7077507,-9.1365919,"Lisboa, Portugal"
111,Sword at Sunset,Rosemary Sutcliff,Arfon,United Kingdom,Sword at Sunset,"Arfon, United Kingdom","Arfon, Tryfar, Harlech, Gwynedd, Cymru / Wales, LL46 2YW, United Kingdom",United Kingdom,"Arfon, Tryfar, Harlech, Gwynedd, Cymru / Wales, LL46 2YW, United Kingdom","Arfon, Tryfar, Harlech, Gwynedd, Cymru / Wales, LL46 2YW, United Kingdom",52.857932149999996,-4.109417096003719,"Arfon, Tryfar, Harlech, Gwynedd, Cymru / Wales, LL46 2YW, United Kingdom"
112,Forever Amber,Kenneth Anger,London,England,Forever Amber (novel),"London, England","London, Greater London, England, United Kingdom","England, United Kingdom","London, Greater London, England, United Kingdom","London, Greater London, England, United Kingdom",51.5074456,-0.1277653,"London, Greater London, England, United Kingdom"
116,When We Were Orphans,Kazuo Ishiguro,Shanghai,China,When We Were Orphans,"Shanghai, China","上海市, 黄浦区, 上海市, 200001, 中国",中国,"上海市, 中国","上海市, 中国",31.2312707,121.4700152,"上海市, 中国"
122,In the Country of Men,Hisham Matar,Tripoli,Libya,In the Country of Men,"Tripoli, Libya","طرابلس, ليبيا",ليبيا,"طرابلس, ليبيا","طرابلس, ليبيا",32.896672,13.1777923,"طرابلس, ليبيا"
124,Gai-Jin,James Clavell,Hiroshima,Japan,Gai-Jin (novel),"Hiroshima, Japan","広島市, 広島県, 日本",日本,"広島市, 広島県, 日本","広島市, 広島県, 日本",34.3917241,132.4517589,"広島市, 広島県, 日本"
128,The Roman Mysteries,Caroline Lawrence,Ostia Antica,Roman Empire,The Roman Mysteries,"Ostia Antica, Roman Empire","Ostia Antica, Via Guido Calza, Ostia Antica, Municipio Roma X, Lido di Ostia, Roma, Roma Capitale, Lazio, 00119, Italia","New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom",,"Ostia Antica, Via Guido Calza, Ostia Antica, Municipio Roma X, Lido di Ostia, Roma, Roma Capitale, Lazio, 00119, Italia",41.75363735,12.28573991132103,"Ostia Antica, Via Guido Calza, Ostia Antica, Municipio Roma X, Lido di Ostia, Roma, Roma Capitale, Lazio, 00119, Italia"
129,A Passage North,Anuk Arudpragasam,Colombo,Sri Lanka,A Passage North,"Colombo, Sri Lanka","Colombo, Colombo District, Western Province, ශ්‍රී ලංකාව இலங்கை",ශ්‍රී ලංකාව இலங்கை,"Colombo, Colombo District, Western Province, ශ්‍රී ලංකාව இலங்கை","Colombo, Colombo District, Western Province, ශ්‍රී ලංකාව இலங்கை",6.9388614,79.8542005,"Colombo, Colombo District, Western Province, ශ්‍රී ලංකාව இலங்கை"
131,Lee and Grant at Appomattox,MacKinlay Kantor,Appomattox Court House,United States,Lee and Grant at Appomattox,"Appomattox Court House, United States","Appomattox Court House, Old Richmond-Lynchburg Stage Road, Appomattox County, Virginia, 24522, United States",United States,"Appomattox Court House, Old Richmond-Lynchburg Stage Road, Appomattox County, Virginia, 24522, United States","Appomattox Court House, Old Richmond-Lynchburg Stage Road, Appomattox County, Virginia, 24522, United States",37.3760915,-78.8031417,"Appomattox Court House, Old Richmond-Lynchburg Stage Road, Appomattox County, Virginia, 24522, United States"
132,The Antagonists,Ernest K. Gann,Masada,Israel,The Antagonists (Gann novel),"Masada, Israel","מצדה, שביל הסוללה, מועצה אזורית תמר, נפת באר שבע, מחוז הדרום, ישראל",ישראל,"מצדה, שביל הסוללה, מועצה אזורית תמר, נפת באר שבע, מחוז הדרום, ישראל","מצדה, שביל הסוללה, מועצה אזורית תמר, נפת באר שבע, מחוז הדרום, ישראל",31.31564025,35.35389434396094,"מצדה, שביל הסוללה, מועצה אזורית תמר, נפת באר שבע, מחוז הדרום, ישראל"
134,Cue for Treason,T.H. Ruggles Rea,London,England,Cue for Treason,"London, England","London, Greater London, England, United Kingdom","England, United Kingdom","London, Greater London, England, United Kingdom","London, Greater London, England, United Kingdom",51.5074456,-0.1277653,"London, Greater London, England, United Kingdom"
135,The White Guard,Mikhail Bulgakov,Kiev,Ukraine,The White Guard,"Kiev, Ukraine","Київ, Україна",Україна,"Київ, Україна","Київ, Україна",50.4500336,30.5241361,"Київ, Україна"
136,The Stone Carvers,Jane Urquhart,Canada,Canada,The Stone Carvers,"Canada, Canada",Canada,Canada,Canada,Canada,61.0666922,-107.991707,Canada
137,Cry of the Peacock,Gina B. Nahai,Esfahan,Persia/Iran,Cry of the Peacock (novel),"Esfahan, Persia/Iran","اصفهان, بخش مرکزی شهرستان اصفهان, شهرستان اصفهان, استان اصفهان, ایران",ایران,,"اصفهان, بخش مرکزی شهرستان اصفهان, شهرستان اصفهان, استان اصفهان, ایران",32.6707877,51.6650002,"اصفهان, بخش مرکزی شهرستان اصفهان, شهرستان اصفهان, استان اصفهان, ایران"
141,Time to Depart,Lindsey Davis,Londinium,Britannia,The Jupiter Myth,"Londinium, Britannia","London, Greater London, England, United Kingdom","HMY Britannia, Whisky Quay, North Leith, Leith, City of Edinburgh, Alba / Scotland, EH6 6FH, United Kingdom","Britannia, 299, Mare Street, Hackney, London Borough of Hackney, London, Greater London, England, E8 1EJ, United Kingdom","Britannia, 299, Mare Street, Hackney, London Borough of Hackney, London, Greater London, England, E8 1EJ, United Kingdom",51.54587755,-0.05550315727771903,"Britannia, 299, Mare Street, Hackney, London Borough of Hackney, London, Greater London, England, E8 1EJ, United Kingdom"
142,Dragon Seed,Pearl S. Buck,Nanjing,China,Dragon Seed (novel),"Nanjing, China","南京市, 江苏省, 中国",中国,"南京市, 江苏省, 中国","南京市, 江苏省, 中国",32.0438284,118.7788631,"南京市, 江苏省, 中国"
145,The Best of Times,,Bombay,India,A Fine Balance,"Bombay, India","Mumbai Suburban, Maharashtra, India",India,"Mumbai City, Maharashtra, India","Mumbai City, Maharashtra, India",18.9733536,72.82810491917377,"Mumbai City, Maharashtra, India"
147,The Guarani: Brazilian Romance,José de Alencar,Rio,Brazil,The Guarani,"Rio, Brazil","Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil",Brasil,"Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil",-22.9110137,-43.2093727,"Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil"
150,Jasper Jones,,Corrigan,Australia,Jasper Jones,"Corrigan, Australia","Corrigan, Polk County, Texas, 75939, United States",Australia,"Corrigan, Rainbow Flat, Mid-Coast Council, New South Wales, 2430, Australia","Corrigan, Rainbow Flat, Mid-Coast Council, New South Wales, 2430, Australia",-32.065,152.4677778,"Corrigan, Rainbow Flat, Mid-Coast Council, New South Wales, 2430, Australia"
152,Moon Tiger,Penelope Lively,Cairo,Egypt,Moon Tiger,"Cairo, Egypt","القاهرة, مصر",مصر,"القاهرة, مصر","القاهرة, مصر",30.0443879,31.2357257,"القاهرة, مصر"
153,The House of Doors,Tan Twan Eng,Penang,Federated Malay States,The House of Doors,"Penang, Federated Malay States","Pulau Pinang, Malaysia",,,"Pulau Pinang, Malaysia",5.4065013,100.2559077,"Pulau Pinang, Malaysia"
154,Paddy Clarke Ha Ha Ha,Roddy Doyle,Barrytown,Ireland,Paddy Clarke Ha Ha Ha,"Barrytown, Ireland","Barrytown, Town of Red Hook, Dutchess County, New York, 12507, United States",Éire / Ireland,,"Barrytown, Town of Red Hook, Dutchess County, New York, 12507, United States",41.9998626,-73.9247822,"Barrytown, Town of Red Hook, Dutchess County, New York, 12507, United States"
158,Noli Me Tángere,José Rizal,Manila,Philippines,Noli Me Tángere (novel),"Manila, Philippines","Manila, Capital District, Metro Manila, Pilipinas",Pilipinas,"Manila, Capital District, Metro Manila, Pilipinas","Manila, Capital District, Metro Manila, Pilipinas",14.5906346,120.9799964,"Manila, Capital District, Metro Manila, Pilipinas"
159,The Element of Water,Stevie Davies,Lake Plön,Germany,The Element of Water,"Lake Plön, Germany","Lake House Plön, 1, Fegetasche, Plön, Schleswig-Holstein, 24306, Deutschland",Deutschland,"Lake House Plön, 1, Fegetasche, Plön, Schleswig-Holstein, 24306, Deutschland","Lake House Plön, 1, Fegetasche, Plön, Schleswig-Holstein, 24306, Deutschland",54.153189499999996,10.450517211719745,"Lake House Plön, 1, Fegetasche, Plön, Schleswig-Holstein, 24306, Deutschland"
161,Reading in the Dark,Seamus Deane,Derry,Northern Ireland,Reading in the Dark,"Derry, Northern Ireland","Derry/Londonderry, County Londonderry, Northern Ireland / Tuaisceart Éireann, BT48 6BU, United Kingdom","Northern Ireland / Tuaisceart Éireann, United Kingdom","Derry/Londonderry, County Londonderry, Northern Ireland / Tuaisceart Éireann, BT48 6BU, United Kingdom","Derry/Londonderry, County Londonderry, Northern Ireland / Tuaisceart Éireann, BT48 6BU, United Kingdom",54.9978678,-7.3213056,"Derry/Londonderry, County Londonderry, Northern Ireland / Tuaisceart Éireann, BT48 6BU, United Kingdom"
162,The Travels of Jaimie McPheeters,Robert Lewis Taylor,"St. Louis, Missouri",United States,The Travels of Jaimie McPheeters,"St. Louis, Missouri, United States","Saint Louis, Missouri, United States",United States,"Saint Louis, Missouri, United States","Saint Louis, Missouri, United States",38.6280278,-90.1910154,"Saint Louis, Missouri, United States"
163,Po-on,F. Sionil José,Bagumbayan (now known as Rizal Park),Philippines,Po-on (novel),"Bagumbayan (now known as Rizal Park), Philippines",,Pilipinas,,Pilipinas,12.7503486,122.7312101,Pilipinas
164,The Thousand Autumns of Jacob de Zoet,David Mitchell,Nagasaki,Japan,The Thousand Autumns of Jacob de Zoet,"Nagasaki, Japan","長崎県, 日本",日本,"長崎県, 日本","長崎県, 日本",33.1154683,129.7874339,"長崎県, 日本"
166,The Inheritance of Loss,Kiran Desai,Kalimpong,India,The Inheritance of Loss,"Kalimpong, India","Kalimpong, Kalimpong -I, Kalimpong, West Bengal, 734316, India",India,"Kalimpong, Kalimpong -I, Kalimpong, West Bengal, 734316, India","Kalimpong, Kalimpong -I, Kalimpong, West Bengal, 734316, India",27.0702869,88.4723676,"Kalimpong, Kalimpong -I, Kalimpong, West Bengal, 734316, India"
169,Night Boat to Tangier,Kevin Barry,Algeciras,Spain,Night Boat to Tangier,"Algeciras, Spain","Algeciras, Campo de Gibraltar, Cádiz, Andalucía, España",España,"Algeciras, Campo de Gibraltar, Cádiz, Andalucía, España","Algeciras, Campo de Gibraltar, Cádiz, Andalucía, España",36.1311725,-5.4473991,"Algeciras, Campo de Gibraltar, Cádiz, Andalucía, España"
170,Don Quixote of La Mancha,Miguel de Cervantes,La Mancha,Spain,Don Quixote,"La Mancha, Spain","La Mancha, Guerrero, Chihuahua, México",España,"La Mancha, Castilla-La Mancha, España","La Mancha, Castilla-La Mancha, España",39.08328815,-3.327201452922372,"La Mancha, Castilla-La Mancha, España"
171,Lydia Bailey,Kenneth Roberts,Haiti,Haiti,Lydia Bailey (novel),"Haiti, Haiti",Ayiti,Ayiti,Ayiti,Ayiti,19.1399952,-72.3570972,Ayiti
172,Bila Yarrudhanggalangdhuray,Anita Heiss,Gundagai,Australia,Bila Yarrudhanggalangdhuray,"Gundagai, Australia","Gundagai, Cootamundra-Gundagai Regional Council, New South Wales, 2722, Australia",Australia,"Gundagai, Cootamundra-Gundagai Regional Council, New South Wales, 2722, Australia","Gundagai, Cootamundra-Gundagai Regional Council, New South Wales, 2722, Australia",-35.0614045,148.1059794,"Gundagai, Cootamundra-Gundagai Regional Council, New South Wales, 2722, Australia"
175,The Other Side of the Bridge,Mary Lawson,Struan,Canada,The Other Side of the Bridge,"Struan, Canada","Struan, Highland, Alba / Scotland, IV56 8FN, United Kingdom",Canada,"Struan, Eagle Creek No. 376, Saskatchewan, Canada","Struan, Eagle Creek No. 376, Saskatchewan, Canada",52.3193493,-107.596559,"Struan, Eagle Creek No. 376, Saskatchewan, Canada"
179,My Left Foot,Christy Brown,Dublin,Ireland,Down All the Days,"Dublin, Ireland","Dublin, County Dublin, Leinster, Éire / Ireland",Éire / Ireland,"Dublin, County Dublin, Leinster, Éire / Ireland","Dublin, County Dublin, Leinster, Éire / Ireland",53.3493795,-6.2605593,"Dublin, County Dublin, Leinster, Éire / Ireland"
180,The Public Image,Muriel Spark,Rome,Italy,The Public Image,"Rome, Italy","Roma, Roma Capitale, Lazio, Italia",Italia,"Roma, Roma Capitale, Lazio, Italia","Roma, Roma Capitale, Lazio, Italia",41.8933203,12.4829321,"Roma, Roma Capitale, Lazio, Italia"
181,Shaheen,Naseem Hijazi,Granada,Spain,Shaheen (novel),"Granada, Spain","Granada, Comarca de la Vega de Granada, Granada, Andalucía, España",España,"Granada, Comarca de la Vega de Granada, Granada, Andalucía, España","Granada, Comarca de la Vega de Granada, Granada, Andalucía, España",37.1734995,-3.5995337,"Granada, Comarca de la Vega de Granada, Granada, Andalucía, España"
182,King Solomon's Mines,H. Rider Haggard,Kukuanaland (NA),Zambia/Democratic Republic of Congo,King Solomon's Mines,"Kukuanaland (NA), Zambia/Democratic Republic of Congo",,"Embassy of the Democratic Republic Of Congo, Parirenyetwa Road, Fairview, Lusaka, Lusaka District, Lusaka Province, Zambia",,"Embassy of the Democratic Republic Of Congo, Parirenyetwa Road, Fairview, Lusaka, Lusaka District, Lusaka Province, Zambia",-15.4139213,28.289698,"Embassy of the Democratic Republic Of Congo, Parirenyetwa Road, Fairview, Lusaka, Lusaka District, Lusaka Province, Zambia"
184,The Reader,Bernhard Schlink,Berlin,Germany,Earthly Powers,"Berlin, Germany","Berlin, Deutschland",Deutschland,"Berlin, Deutschland","Berlin, Deutschland",52.5108638,13.3989421,"Berlin, Deutschland"
185,Washington Black,Esi Edugyan,Marrakesh,Morocco,Washington Black,"Marrakesh, Morocco","Marrakech ⵎⵕⵕⴰⴽⵯⵛ مراكش, arrondissement de Marrakech-Medina مراكش المدينة, Pachalik de Marrakech, Préfecture de Marrakech عمالة مراكش, Marrakech-Safi ⵎⵕⵕⴰⴽⵛ-ⴰⵙⴼⵉ مراكش-أسفي, Maroc ⵍⵎⵖⵔⵉⴱ المغرب","Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب, Maroc ⵍⵎⵖⵔⵉⴱ المغرب","Marrakech ⵎⵕⵕⴰⴽⵯⵛ مراكش, arrondissement de Marrakech-Medina مراكش المدينة, Pachalik de Marrakech, Préfecture de Marrakech عمالة مراكش, Marrakech-Safi ⵎⵕⵕⴰⴽⵛ-ⴰⵙⴼⵉ مراكش-أسفي, Maroc ⵍⵎⵖⵔⵉⴱ المغرب","Marrakech ⵎⵕⵕⴰⴽⵯⵛ مراكش, arrondissement de Marrakech-Medina مراكش المدينة, Pachalik de Marrakech, Préfecture de Marrakech عمالة مراكش, Marrakech-Safi ⵎⵕⵕⴰⴽⵛ-ⴰⵙⴼⵉ مراكش-أسفي, Maroc ⵍⵎⵖⵔⵉⴱ المغرب",31.6258257,-7.9891608,"Marrakech ⵎⵕⵕⴰⴽⵯⵛ مراكش, arrondissement de Marrakech-Medina مراكش المدينة, Pachalik de Marrakech, Préfecture de Marrakech عمالة مراكش, Marrakech-Safi ⵎⵕⵕⴰⴽⵛ-ⴰⵙⴼⵉ مراكش-أسفي, Maroc ⵍⵎⵖⵔⵉⴱ المغرب"
189,Skippy Dies,Paul Murray,Dublin,Ireland,Skippy Dies,"Dublin, Ireland","Dublin, County Dublin, Leinster, Éire / Ireland",Éire / Ireland,"Dublin, County Dublin, Leinster, Éire / Ireland","Dublin, County Dublin, Leinster, Éire / Ireland",53.3493795,-6.2605593,"Dublin, County Dublin, Leinster, Éire / Ireland"
191,La Reine Margot,"Alexandre Dumas, père",Paris,France,La Reine Margot (novel),"Paris, France","Paris, Île-de-France, France métropolitaine, France",France,"Paris, Île-de-France, France métropolitaine, France","Paris, Île-de-France, France métropolitaine, France",48.8534951,2.3483915,"Paris, Île-de-France, France métropolitaine, France"
193,Poland,James A. Michener,Bukowo,Poland,Poland (novel),"Bukowo, Poland","Bukowo, gmina Bartoszyce, powiat bartoszycki, województwo warmińsko-mazurskie, 11-200, Polska",Polska,"Bukowo, gmina Bartoszyce, powiat bartoszycki, województwo warmińsko-mazurskie, 11-200, Polska","Bukowo, gmina Bartoszyce, powiat bartoszycki, województwo warmińsko-mazurskie, 11-200, Polska",54.19744,20.75296,"Bukowo, gmina Bartoszyce, powiat bartoszycki, województwo warmińsko-mazurskie, 11-200, Polska"
194,The Fair Maid of Perth,Sir Walter Scott,Perth,Scotland,The Fair Maid of Perth,"Perth, Scotland","Perth, City of Perth, Western Australia, 6000, Australia","Alba / Scotland, United Kingdom","Perth, Perth and Kinross, Alba / Scotland, PH1 5SU, United Kingdom","Perth, Perth and Kinross, Alba / Scotland, PH1 5SU, United Kingdom",56.3958186,-3.4286805,"Perth, Perth and Kinross, Alba / Scotland, PH1 5SU, United Kingdom"
196,An Ice-Cream War,William Boyd,Dar es Salaam,Tanzania,An Ice-Cream War,"Dar es Salaam, Tanzania","Dar es-Salaam, Coastal Zone, Tanzania",Tanzania,"Dar es-Salaam, Coastal Zone, Tanzania","Dar es-Salaam, Coastal Zone, Tanzania",-6.8160837,39.2803583,"Dar es-Salaam, Coastal Zone, Tanzania"
201,Last Orders,Graham Swift,London,United Kingdom,Last Orders,"London, United Kingdom","London, Greater London, England, United Kingdom",United Kingdom,"London, Greater London, England, United Kingdom","London, Greater London, England, United Kingdom",51.5074456,-0.1277653,"London, Greater London, England, United Kingdom"
203,The War of the End of the World,Mario Vargas Llosa,Canudos,Brazil,The War of the End of the World,"Canudos, Brazil","Canudos, Região Geográfica Imediata de Euclides da Cunha, Região Geográfica Intermediária de Paulo Afonso, Bahia, Região Nordeste, Brasil",Brasil,"Canudos, Região Geográfica Imediata de Euclides da Cunha, Região Geográfica Intermediária de Paulo Afonso, Bahia, Região Nordeste, Brasil","Canudos, Região Geográfica Imediata de Euclides da Cunha, Região Geográfica Intermediária de Paulo Afonso, Bahia, Região Nordeste, Brasil",-9.8948692,-39.0266244,"Canudos, Região Geográfica Imediata de Euclides da Cunha, Região Geográfica Intermediária de Paulo Afonso, Bahia, Região Nordeste, Brasil"
205,Unburnable,Marie-Elena John,"Washington, D.C.",United States,Unburnable,"Washington, D.C., United States","Washington, District of Columbia, United States",United States,"Washington, District of Columbia, United States","Washington, District of Columbia, United States",38.8950368,-77.0365427,"Washington, District of Columbia, United States"
213,"My Sister, the Serial Killer",Oyinkan Braithwaite,Lagos,Nigeria,"My Sister, the Serial Killer","Lagos, Nigeria","Lagos, Lagos Island, Lagos, 100242, Nigeria",Nigeria,"Lagos, Lagos Island, Lagos, 100242, Nigeria","Lagos, Lagos Island, Lagos, 100242, Nigeria",6.4550575,3.3941795,"Lagos, Lagos Island, Lagos, 100242, Nigeria"
